NCAA Event Profiles,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Men,,,,,,,,,,
,,,,,,,,,,
,,Prelims,,,,,Finals,,,
Event,,1st,8th,9th,16th,,1st,8th,9th,16th
200 Free Relay,2025.0,1:19.74,1:20.61,1:20.64,1:21.45,,1:18.51,1:21.05,1:20.34,1:21.70
,2024.0,1:19.71,1:21.09,1:21.17,1:22.18,,1:19.19,1:20.54,1:20.56,1:23.06
,2023.0,1:19.90,1:21.36,1:21.41,1:22.09,,1:18.40,1:21.24,1:21.41,1:22.39
,2022.0,1:19.56,1:20.75,1:20.77,1:21.53,,1:19.10,1:21.20,1:20.47,1:21.88
400 Free Relay,2025.0,2:56.76,2:58.72,2:58.78,3:00.36,,2:54.20,2:58.92,2:57.16,3:00.98
,2024.0,2:56.09,2:59.05,2:59.30,3:01.23,,2:54.52,2:59.75,2:58.82,3:01.19
,2023.0,2:55.74,3:00.50,3:00.64,3:01.90,,2:54.34,3:01.24,3:00.20,3:01.54
,2022.0,2:56.07,2:59.33,2:59.38,3:00.46,,2:54.38,2:59.43,2:57.84,3:01.06
800 Free Relay,2025.0,,,,,,6:26.98,6:33.96,6:35.01,6:43.08
,2024.0,,,,,,6:29.05,6:35.71,6:36.13,6:43.32
,2023.0,,,,,,6:26.98,6:38.39,6:38.89,6:44.13
,2022.0,,,,,,6:28.69,6:35.42,6:37.27,6:42.01
